# comment
256
249.7 154.9  60.7 1.00
250.0 156.3  59.8 1.00
250.4 157.7  59.0 1.00
250.7 159.2  58.1 1.00
251.0 160.6  57.3 1.00
251.3 162.0  56.4 1.00
251.5 163.4  55.6 1.00
251.8 164.9  54.7 1.00
252.0 166.3  53.9 1.00
252.2 167.8  53.1 1.00
252.4 169.3  52.2 1.00
252.6 170.7  51.4 1.00
252.8 172.2  50.6 1.00
253.0 173.7  49.8 1.00
253.1 175.2  49.0 1.00
253.2 176.7  48.2 1.00
253.3 178.2  47.4 1.00
253.4 179.7  46.7 1.00
253.5 181.2  45.9 1.00
253.6 182.8  45.2 1.00
253.6 184.3  44.5 1.00
253.6 185.8  43.8 1.00
253.6 187.4  43.1 1.00
253.6 188.9  42.4 1.00
253.6 190.5  41.8 1.00
253.5 192.0  41.2 1.00
253.4 193.6  40.6 1.00
253.3 195.2  40.0 1.00
253.2 196.8  39.5 1.00
253.1 198.4  39.0 1.00
252.9 200.0  38.5 1.00
252.8 201.6  38.1 1.00
252.6 203.2  37.7 1.00
252.3 204.8  37.4 1.00
252.1 206.4  37.1 1.00
251.8 208.1  36.8 1.00
251.6 209.7  36.6 1.00
251.3 211.4  36.5 1.00
250.9 213.0  36.3 1.00
250.6 214.7  36.3 1.00
250.2 216.3  36.3 1.00
249.8 218.0  36.3 1.00
249.4 219.7  36.4 1.00
248.9 221.3  36.6 1.00
248.5 223.0  36.7 1.00
248.0 224.7  37.0 1.00
247.5 226.4  37.2 1.00
247.0 228.1  37.5 1.00
246.4 229.8  37.8 1.00
245.8 231.5  38.1 1.00
245.2 233.2  38.4 1.00
244.6 235.0  38.6 1.00
244.0 236.7  38.9 1.00
243.3 238.4  39.0 1.00
242.7 240.1  39.0 1.00
242.0 241.9  38.8 1.00
241.4 243.6  38.3 1.00
240.8 245.3  37.4 1.00
240.2 247.0  35.9 1.00
239.7 248.7  33.5 1.00
